# NR     X       Y     V    eV    I    eI    Ha   eHa   LgT eLgT   LgL eLgL  LgHa   EW   Mass Age LgMdot
 184 1263.45 1641.08 20.94 0.02 20.46 0.02 19.38 0.16  3.84 0.03  0.97 0.07 -1.63  -28.2 1.6  7.6 -7.18
 185 1272.06 2607.56 20.95 0.02 20.59 0.03 19.66 0.20  3.87 0.03  0.96 0.07 -1.78  -22.2 1.5  8.6 -7.39
 186 1282.58 4448.26 24.61 0.05 23.45 0.03 22.20 0.20  3.67 0.02 -0.33 0.06 -2.70  -46.5 0.9 15.4 -8.32
 187 1285.85 3343.74 22.23 0.05 21.86 0.02 19.48 0.20  3.87 0.03  0.45 0.07 -1.53 -133.8 1.2 31.1 -7.29
 188 1286.84 2791.61 22.02 0.03 21.35 0.02 20.44 0.20  3.79 0.03  0.56 0.07 -2.09  -23.2 1.3 11.5 -7.65
 189 1290.49 2594.72 20.48 0.03 20.29 0.03 19.31 0.19  3.91 0.03  1.14 0.07 -1.64  -23.3 1.7  7.1 -7.28
 190 1290.86 1381.29 24.84 0.06 23.59 0.03 21.81 0.20  3.66 0.02 -0.38 0.06 -2.49  -88.2 0.9 14.6 -8.10
 191 1296.09 3304.91 20.84 0.02 19.50 0.03 18.99 0.16  3.65 0.02  1.26 0.06 -1.58  -16.0 1.2  0.0 -6.49
 192 1297.76 3519.08 19.48 0.02 19.55 0.03 18.44 0.13  4.03 0.11  1.68 0.12 -1.28  -25.3 2.4 13.3 -7.03
 193 1298.82 2924.44 20.21 0.02 20.11 0.02 19.19 0.19  3.94 0.03  1.26 0.07 -1.61  -20.3 1.8  6.5 -7.28
 194 1298.84 1241.47 23.14 0.02 22.26 0.02 21.69 0.16  3.73 0.03  0.15 0.07 -2.69  -13.8 1.1 12.0 -8.28
 195 1306.58 2564.93 20.85 0.02 20.37 0.02 19.74 0.16  3.84 0.03  1.01 0.07 -1.92  -12.7 1.6  6.9 -7.47
 196 1309.97  930.58 24.44 0.04 23.65 0.03 21.83 0.17  3.76 0.03 -0.39 0.07 -2.50  -79.7 0.8 48.5 -8.29
 197 1311.08 2946.29 19.34 0.02 19.35 0.02 18.69 0.14  3.98 0.06  1.66 0.09 -1.50  -12.7 2.3  4.0 -7.16
 198 1322.97 2908.99 21.22 0.02 21.02 0.02 19.79 0.17  3.91 0.03  0.84 0.07 -1.78  -33.8 1.5 25.5 -7.51
 199 1326.09 2679.58 19.39 0.02 19.38 0.02 18.63 0.16  3.98 0.05  1.63 0.08 -1.43  -15.8 2.3  4.0 -7.08
 200 1328.55 3331.14 20.09 0.02 19.81 0.02 18.88 0.13  3.89 0.03  1.30 0.07 -1.47  -23.2 1.9  4.8 -7.03
 201 1335.06 2001.88 20.49 0.03 20.21 0.02 18.96 0.17  3.89 0.03  1.14 0.07 -1.43  -37.2 1.7  6.6 -7.03
 202 1350.18 2296.61 22.91 0.05 22.04 0.02 20.57 0.19  3.74 0.03  0.24 0.07 -2.03  -54.7 1.2 10.6 -7.61
 203 1353.57 2767.83 21.81 0.02 21.42 0.02 20.29 0.15  3.86 0.03  0.61 0.07 -1.99  -30.4 1.3 29.5 -7.69
 204 1359.53 2865.84 22.50 0.03 21.84 0.02 20.87 0.20  3.79 0.03  0.36 0.07 -2.25  -25.5 1.2 28.6 -7.87
 205 1364.70 1304.43 19.13 0.02 19.15 0.02 18.42 0.09  3.99 0.07  1.75 0.09 -1.37  -14.2 2.4  3.0 -7.01
 206 1375.52  816.52 19.94 0.02 18.98 0.02 18.53 0.10  3.71 0.02  1.45 0.06 -1.46  -11.6 2.8  0.3 -6.76
 207 1377.75 1020.17 22.19 0.02 21.16 0.02 20.67 0.16  3.70 0.02  0.58 0.06 -2.29  -13.2 1.5  1.4 -7.73
 208 1382.28 3238.61 23.50 0.04 22.54 0.03 21.01 0.16  3.71 0.03  0.03 0.07 -2.20  -61.0 1.1 10.7 -7.80
 209 1389.14 3438.14 21.92 0.02 21.51 0.02 20.74 0.14  3.86 0.03  0.57 0.07 -2.27  -16.9 1.3 30.2 -7.97
 210 1389.74 2468.11 22.85 0.05 22.23 0.03 19.97 0.17  3.81 0.03  0.22 0.07 -1.73 -122.8 1.1 34.0 -7.43
 211 1393.66 4045.08 21.91 0.05 21.34 0.04 20.24 0.19  3.82 0.03  0.59 0.07 -1.97  -29.9 1.3 23.5 -7.58
 212 1396.63 2434.84 20.34 0.03 20.18 0.02 18.98 0.19  3.92 0.03  1.20 0.07 -1.46  -31.2 1.8  6.8 -7.11
 213 1398.09 2821.12 21.76 0.04 21.22 0.02 19.11 0.21  3.82 0.03  0.65 0.07 -1.40 -101.1 1.3 22.5 -7.00
 214 1403.17 2949.01 19.62 0.02 19.56 0.02 18.78 0.18  3.95 0.04  1.51 0.07 -1.48  -17.0 2.1  4.3 -7.12
 215 1414.75 2673.93 23.72 0.07 23.15 0.04 20.87 0.20  3.82 0.03 -0.13 0.07 -2.09 -123.0 0.9 40.0 -7.92
 216 1426.69 1660.13 23.56 0.05 22.81 0.02 21.38 0.20  3.77 0.03 -0.05 0.07 -2.36  -49.4 1.0 37.1 -8.06
 217 1450.18 2328.91 23.06 0.03 22.14 0.04 21.23 0.17  3.72 0.03  0.20 0.07 -2.39  -26.1 1.2  9.5 -7.96
 218 1452.35 2813.75 20.34 0.02 20.01 0.02 18.99 0.17  3.88 0.03  1.20 0.07 -1.49  -25.9 1.8  5.9 -7.05
 219 1452.35 1787.22 20.99 0.02 20.49 0.02 19.34 0.17  3.84 0.03  0.95 0.07 -1.61  -30.9 1.6  7.4 -7.15
 220 1462.20 3436.46 23.00 0.03 22.20 0.02 21.11 0.17  3.75 0.03  0.19 0.07 -2.31  -31.8 1.1 15.3 -7.91
 221 1480.84  697.40 24.23 0.04 23.10 0.03 21.78 0.18  3.68 0.02 -0.19 0.06 -2.52  -50.2 1.0 10.6 -8.12
 222 1488.08 2812.44 22.42 0.03 21.81 0.02 20.18 0.19  3.81 0.03  0.39 0.07 -1.86  -60.9 1.2 30.5 -7.52
 223 1496.22 3516.26 21.81 0.03 21.10 0.02 20.27 0.19  3.78 0.03  0.65 0.07 -2.04  -20.5 1.5  7.0 -7.59
 224 1496.30 3419.74 20.40 0.03 20.24 0.02 19.05 0.18  3.92 0.03  1.17 0.07 -1.49  -31.0 1.8  6.9 -7.14
 225 1499.63 1887.60 20.53 0.05 19.83 0.03 17.50 0.20  3.78 0.03  1.16 0.07 -0.74 -134.6 2.1  2.7 -6.20
 226 1501.88 2568.36 23.52 0.03 22.70 0.03 21.47 0.20  3.75 0.03 -0.02 0.07 -2.43  -38.8 1.0 23.3 -8.07
 227 1503.62 4547.70 22.55 0.04 21.80 0.02 20.88 0.20  3.77 0.03  0.36 0.07 -2.26  -24.0 1.2 13.1 -7.84
 228 1505.42 3497.23 22.63 0.04 22.02 0.03 20.62 0.21  3.81 0.03  0.31 0.07 -2.07  -45.0 1.2 31.9 -7.75
 229 1514.31 3075.53 19.80 0.03 19.73 0.02 18.69 0.19  3.95 0.04  1.43 0.07 -1.37  -25.6 2.0  4.5 -7.02
 230 1519.72 1674.94 20.68 0.01 20.41 0.02 19.65 0.14  3.89 0.03  1.06 0.07 -1.83  -17.3 1.6  8.5 -7.45
 231 1521.49 1637.88 22.02 0.03 21.43 0.02 20.16 0.20  3.81 0.03  0.55 0.07 -1.90  -38.3 1.3 25.4 -7.52
 232 1529.13 3662.50 20.27 0.03 20.13 0.04 18.91 0.19  3.93 0.03  1.23 0.07 -1.43  -32.0 1.8  6.5 -7.08
 233 1529.69 2506.89 19.95 0.02 19.82 0.02 19.10 0.12  3.93 0.03  1.35 0.07 -1.65  -13.7 1.9  4.9 -7.27
 234 1535.02 2824.68 22.16 0.03 21.49 0.02 20.53 0.20  3.79 0.03  0.50 0.07 -2.11  -25.1 1.2 12.6 -7.68
 235 1537.30 3421.71 22.89 0.02 22.02 0.02 20.98 0.16  3.74 0.03  0.25 0.07 -2.26  -30.9 1.2 11.0 -7.83
 236 1539.85 2260.10 22.44 0.04 21.87 0.05 21.02 0.19  3.82 0.03  0.38 0.07 -2.35  -20.0 1.2 31.7 -8.03
 237 1540.02 3203.48 18.44 0.01 18.46 0.02 17.54 0.12  4.00 0.07  2.05 0.09 -0.95  -20.2 3.0  1.7 -6.56
 238 1542.95 3177.75 19.69 0.02 19.84 0.02 18.60 0.12  4.15 0.16  1.85 0.17 -1.32  -28.9 2.7 12.1 -7.27
 239 1547.88  692.96 23.78 0.03 22.83 0.03 21.66 0.17  3.72 0.03 -0.09 0.07 -2.50  -38.9 1.0 17.5 -8.12
 240 1556.65 1110.96 23.38 0.03 22.32 0.02 21.65 0.17  3.69 0.02  0.12 0.06 -2.61  -19.1 1.2  4.1 -8.16
 241 1566.65 2018.08 22.00 0.02 21.44 0.02 20.81 0.15  3.82 0.03  0.55 0.07 -2.35  -12.8 1.3 22.2 -7.97
 242 1584.58  530.57 23.50 0.04 22.55 0.05 21.61 0.19  3.72 0.03  0.03 0.07 -2.53  -28.2 1.1 11.0 -8.14
 243 1590.27 1574.65 19.49 0.01 19.55 0.02 18.32 0.15  4.02 0.10  1.67 0.11 -1.20  -30.7 2.4 13.5 -6.94
 244 1594.57 1869.72 21.38 0.03 20.84 0.02 19.75 0.20  3.82 0.03  0.80 0.07 -1.78  -29.0 1.4  8.7 -7.33
 245 1601.09 2497.99 21.17 0.02 20.50 0.02 19.20 0.18  3.79 0.03  0.90 0.07 -1.51  -40.9 1.7  5.5 -7.02
 246 1606.23 2496.96 22.74 0.02 21.84 0.02 21.13 0.19  3.73 0.03  0.32 0.07 -2.41  -18.5 1.3  6.6 -7.98
 247 1608.22 3627.22 19.65 0.02 19.48 0.02 18.85 0.11  3.92 0.03  1.47 0.07 -1.59  -11.5 2.1  3.9 -7.17
 248 1614.98 3461.62 19.51 0.02 19.49 0.02 18.73 0.13  3.97 0.05  1.57 0.08 -1.47  -16.2 2.2  4.2 -7.12
 249 1628.58 2159.20 21.04 0.02 20.49 0.02 19.77 0.17  3.82 0.03  0.94 0.07 -1.89  -15.8 1.6  7.0 -7.42
 250 1637.83 2401.61 23.16 0.03 22.39 0.02 21.82 0.11  3.76 0.03  0.12 0.07 -2.75  -12.8 1.0 29.9 -8.38
 251 1660.49 2785.45 20.98 0.03 20.61 0.02 19.30 0.21  3.87 0.03  0.95 0.07 -1.56  -38.9 1.5  8.7 -7.17
 252 1668.60 1281.08 21.10 0.01 20.66 0.02 19.89 0.20  3.85 0.03  0.90 0.07 -1.93  -16.8 1.5  8.5 -7.51
 253 1668.95 3653.98 22.21 0.02 21.56 0.02 19.70 0.17  3.79 0.03  0.48 0.07 -1.65  -80.5 1.2 13.2 -7.24
 254 1683.41  928.61 22.91 0.03 22.09 0.02 21.20 0.19  3.75 0.03  0.23 0.07 -2.39  -24.1 1.1 13.6 -7.97
 255 1686.29 1393.83 24.46 0.07 23.66 0.03 21.09 0.19  3.75 0.03 -0.40 0.07 -2.17 -176.1 0.8 47.5 -7.94
 256 1692.02  643.94 21.84 0.03 21.15 0.02 19.87 0.17  3.78 0.03  0.63 0.07 -1.78  -40.3 1.4  7.6 -7.33
 257 1697.06 2469.36 25.02 0.03 23.91 0.03 22.36 0.16  3.68 0.02 -0.52 0.06 -2.73  -65.7 0.7 36.4 -8.38
 258 1699.41 4705.86 22.66 0.04 21.88 0.03 20.70 0.16  3.76 0.03  0.32 0.07 -2.13  -35.9 1.1 13.4 -7.70
 259 1703.68 2526.67 23.76 0.05 22.82 0.03 21.62 0.12  3.72 0.03 -0.08 0.07 -2.48  -40.2 1.0 17.5 -8.10
 260 1703.99 3344.29 19.08 0.02 19.19 0.03 17.30 0.21  4.08 0.15  1.96 0.16 -0.70  -68.5 2.9 10.6 -6.50
 261 1706.42 2989.31 19.69 0.03 19.65 0.02 18.32 0.18  3.96 0.05  1.49 0.07 -1.17  -39.6 2.1  4.4 -6.82
 262 1711.31 3260.79 21.53 0.03 20.83 0.02 19.61 0.13  3.78 0.03  0.76 0.07 -1.69  -37.0 1.5  7.0 -7.20
 263 1718.47  630.42 20.27 0.01 20.14 0.03 19.52 0.14  3.93 0.03  1.23 0.07 -1.87  -10.8 1.8  6.5 -7.53
 264 1727.64 1741.21 18.65 0.01 18.43 0.01 17.12 0.15  3.91 0.03  1.87 0.07 -0.69  -38.7 2.8  1.7 -6.17
 265 1731.47 2050.87 20.07 0.02 19.49 0.01 18.81 0.13  3.82 0.03  1.33 0.07 -1.52  -14.5 2.1  3.1 -6.97
 266 1735.87 2241.04 22.66 0.05 21.49 0.02 20.12 0.19  3.67 0.02  0.45 0.06 -1.85  -53.8 1.2  1.1 -7.18
 267 1750.27 1169.84 22.96 0.03 21.98 0.02 21.10 0.18  3.71 0.02  0.25 0.06 -2.33  -26.3 1.3  4.3 -7.90
 268 1755.93 3084.28 18.62 0.02 18.66 0.02 17.17 0.18  4.01 0.08  1.99 0.10 -0.69  -45.2 2.8  2.3 -6.31
 269 1760.55 1148.27 23.26 0.03 22.21 0.02 21.18 0.17  3.69 0.02  0.16 0.06 -2.33  -33.5 1.2  3.6 -7.88
 270 1764.63 1347.06 24.36 0.09 23.62 0.04 21.16 0.19  3.77 0.04 -0.37 0.07 -2.20 -155.3 0.8 48.3 -8.00
 271 1770.83 2707.77 24.26 0.04 23.16 0.03 21.92 0.19  3.69 0.02 -0.22 0.06 -2.59  -44.9 1.0 13.4 -8.21
 272 1775.57  854.59 22.60 0.03 21.79 0.03 20.21 0.15  3.75 0.03  0.35 0.07 -1.88  -60.9 1.2 10.9 -7.44
 273 1777.94 1202.73 22.40 0.01 21.75 0.02 20.87 0.14  3.80 0.03  0.40 0.07 -2.27  -22.1 1.2 25.4 -7.89
 274 1778.36 1351.01 22.48 0.03 21.70 0.02 20.23 0.16  3.76 0.03  0.39 0.07 -1.90  -52.6 1.2 10.9 -7.46
 275 1779.04 1385.22 23.19 0.03 22.40 0.02 21.05 0.17  3.76 0.03  0.11 0.07 -2.24  -45.4 1.0 20.1 -7.86
 276 1779.15 1142.44 21.27 0.02 20.55 0.02 19.90 0.13  3.78 0.03  0.86 0.07 -1.95  -15.0 1.7  4.8 -7.46
 277 1782.88 1776.82 23.16 0.04 22.19 0.02 20.94 0.16  3.71 0.02  0.17 0.06 -2.20  -43.6 1.2  7.7 -7.77
 278 1788.84 3574.83 20.23 0.03 18.82 0.02 18.09 0.10  3.64 0.02  1.53 0.06 -1.14  -24.0 1.5  0.0 -5.99
 279 1796.20 1071.72 23.48 0.02 22.83 0.02 21.61 0.18  3.79 0.03 -0.03 0.07 -2.49  -36.6 1.0 38.4 -8.23
 280 1798.48 1287.89 22.61 0.03 22.01 0.03 20.41 0.21  3.81 0.03  0.31 0.07 -1.96  -58.6 1.2 31.9 -7.64
 281 1800.93 2900.79 22.49 0.05 21.52 0.02 19.85 0.19  3.71 0.03  0.44 0.07 -1.72  -72.0 1.4  2.5 -7.24
 282 1818.76  765.15 20.75 0.02 20.46 0.02 19.78 0.15  3.89 0.03  1.03 0.07 -1.92  -14.4 1.6  8.5 -7.53
 283 1820.24 2962.67 20.00 0.02 19.93 0.02 19.06 0.18  3.95 0.04  1.35 0.07 -1.56  -19.6 1.9  6.0 -7.23
 284 1825.90 1752.56 20.51 0.02 19.60 0.02 19.16 0.12  3.73 0.02  1.21 0.06 -1.73  -10.6 2.5  0.6 -7.12
 285 1846.62 3195.04 20.82 0.03 20.16 0.03 19.26 0.19  3.79 0.03  1.04 0.07 -1.62  -22.5 1.8  4.1 -7.11
 286 1847.60 1399.29 24.02 0.04 23.12 0.02 21.53 0.17  3.73 0.03 -0.20 0.07 -2.40  -64.2 0.9 26.9 -8.05
 287 1852.58 1930.22 22.78 0.03 21.97 0.02 21.04 0.19  3.75 0.03  0.28 0.07 -2.31  -25.2 1.1 13.1 -7.89
 288 1867.66 2176.26 23.86 0.05 23.01 0.03 20.99 0.20  3.74 0.03 -0.15 0.07 -2.15 -101.1 0.9 35.9 -7.82
 289 1871.42 1987.59 21.16 0.02 20.24 0.01 19.11 0.16  3.72 0.02  0.95 0.06 -1.49  -36.0 2.1  0.9 -6.93
 290 1872.44 1927.59 23.06 0.04 22.48 0.02 20.84 0.16  3.82 0.03  0.13 0.07 -2.13  -60.3 1.1 37.8 -7.87
 291 1879.24 1878.87 21.52 0.02 21.05 0.02 20.20 0.19  3.84 0.03  0.74 0.07 -2.02  -19.3 1.4 13.2 -7.64
 292 1879.27 1920.19 22.32 0.02 21.83 0.02 20.96 0.17  3.84 0.03  0.42 0.07 -2.32  -20.1 1.2 32.2 -8.02
 293 1879.95 3008.48 20.40 0.02 20.18 0.02 18.73 0.17  3.91 0.03  1.17 0.07 -1.31  -46.6 1.8  6.4 -6.94
 294 1880.99  922.55 21.12 0.04 20.43 0.03 18.81 0.20  3.78 0.03  0.92 0.07 -1.31  -61.4 1.7  4.6 -6.82
 295 1901.64 2794.64 20.99 0.02 20.57 0.02 19.81 0.13  3.86 0.03  0.95 0.07 -1.90  -16.2 1.5  8.3 -7.48
 296 1909.11 1254.44 24.37 0.06 23.13 0.02 21.92 0.20  3.66 0.02 -0.20 0.06 -2.59  -45.4 1.0  6.5 -8.16
 297 1927.86 1882.75 22.36 0.04 21.57 0.03 20.78 0.15  3.76 0.03  0.44 0.07 -2.25  -19.8 1.3  9.4 -7.81
 298 1928.17 1152.29 21.85 0.02 21.38 0.02 20.69 0.14  3.84 0.03  0.61 0.07 -2.28  -14.3 1.3 27.5 -7.94
 299 1932.07 2609.72 22.68 0.03 22.13 0.02 20.73 0.18  3.82 0.03  0.28 0.07 -2.12  -44.0 1.1 33.0 -7.83
 300 1932.88 2694.74 22.50 0.02 21.80 0.02 21.26 0.14  3.78 0.03  0.37 0.07 -2.55  -11.6 1.2 14.0 -8.14
 301 1944.14  716.63 23.56 0.06 22.44 0.04 20.88 0.14  3.68 0.02  0.07 0.06 -2.14  -66.6 1.1  3.8 -7.67
 302 1944.17 2870.04 23.05 0.03 22.33 0.03 21.56 0.19  3.77 0.03  0.15 0.07 -2.58  -18.4 1.1 32.8 -8.23
 303 1945.35  379.54 23.80 0.06 22.54 0.03 21.32 0.17  3.66 0.02  0.03 0.06 -2.35  -46.1 1.0  3.0 -7.81
 304 1947.22 1260.80 22.60 0.03 21.73 0.02 19.99 0.19  3.74 0.03  0.36 0.07 -1.77  -75.1 1.3  7.4 -7.34
 305 1948.32 2627.25 21.07 0.02 20.58 0.02 19.72 0.15  3.84 0.03  0.92 0.07 -1.83  -19.5 1.5  8.0 -7.38
 306 1953.46 2610.80 21.43 0.03 20.58 0.02 19.54 0.14  3.74 0.03  0.82 0.07 -1.69  -30.6 1.9  2.2 -7.19
 307 1957.32 1412.54 22.10 0.02 21.51 0.02 21.00 0.12  3.81 0.03  0.52 0.07 -2.48  -10.2 1.3 23.5 -8.10
 308 1958.02 4487.41 22.60 0.07 21.67 0.03 19.84 0.20  3.72 0.03  0.38 0.07 -1.70  -85.7 1.4  4.4 -7.26
 309 1959.94 2702.53 23.59 0.02 22.55 0.02 21.87 0.16  3.70 0.02  0.02 0.06 -2.69  -19.2 1.1  8.0 -8.28
 310 1962.79 1271.29 22.01 0.03 21.49 0.03 19.24 0.20  3.83 0.03  0.55 0.07 -1.44 -117.0 1.3 28.3 -7.09
 311 1966.73 2415.64 23.78 0.02 23.13 0.02 22.44 0.19  3.80 0.03 -0.15 0.07 -2.96  -15.6 0.9 43.0 -8.75
 312 1969.45  848.82 22.71 0.03 22.01 0.03 21.10 0.17  3.78 0.03  0.29 0.07 -2.35  -23.7 1.1 28.3 -7.98
 313 1973.18 3707.17 23.03 0.06 22.20 0.03 20.30 0.18  3.75 0.03  0.18 0.07 -1.89  -87.3 1.1 14.5 -7.48
 314 1975.93 2505.24 24.49 0.04 23.40 0.03 22.12 0.20  3.69 0.02 -0.31 0.06 -2.66  -46.9 0.9 19.2 -8.29
 315 1976.32 1139.54 20.46 0.02 20.17 0.02 19.59 0.10  3.89 0.03  1.15 0.07 -1.89  -11.6 1.7  6.4 -7.48
 316 1978.85  394.44 23.49 0.05 22.47 0.02 20.58 0.16  3.70 0.02  0.06 0.06 -1.99  -94.2 1.1  7.8 -7.57
 317 1978.96 1802.26 21.93 0.02 21.51 0.02 20.54 0.20  3.86 0.03  0.57 0.07 -2.13  -23.5 1.3 30.2 -7.83
 318 1983.66 1444.34 24.02 0.07 23.57 0.03 21.19 0.20  3.85 0.03 -0.26 0.07 -2.22 -133.3 0.9 40.8 -8.16
 319 1993.73 1431.17 23.86 0.03 22.98 0.03 21.43 0.15  3.73 0.03 -0.14 0.07 -2.36  -60.3 0.9 25.9 -8.01
 320 2000.34 2766.52 24.22 0.03 23.23 0.03 22.08 0.19  3.71 0.02 -0.24 0.06 -2.67  -38.5 0.9 21.9 -8.31
 321 2001.84  849.63 23.47 0.02 22.67 0.02 21.66 0.21  3.75 0.03 -0.00 0.07 -2.55  -28.2 1.0 33.3 -8.19
 322 2006.69 2080.23 24.44 0.07 23.30 0.03 21.62 0.20  3.68 0.02 -0.27 0.06 -2.42  -76.8 0.9 12.6 -8.04
 323 2009.80 3564.79 19.06 0.02 18.92 0.02 18.01 0.14  3.93 0.03  1.71 0.07 -1.15  -19.7 2.5  2.6 -6.69
 324 2022.41 1798.55 23.12 0.02 22.27 0.01 21.20 0.12  3.74 0.03  0.15 0.07 -2.35  -31.8 1.1 12.8 -7.94
 325 2023.70 2881.23 23.02 0.03 22.19 0.02 21.22 0.18  3.75 0.03  0.18 0.07 -2.38  -27.2 1.1 13.6 -7.97
 326 2026.20 1009.43 22.77 0.02 22.09 0.02 21.31 0.14  3.79 0.03  0.26 0.07 -2.48  -18.6 1.1 31.8 -8.13
 327 2026.31 3401.07 18.19 0.04 18.50 0.03 15.44 0.22  4.41 0.20  3.07 0.21  0.10 -212.0 4.7  5.0 -6.02
 328 2033.68 3725.67 19.73 0.02 19.77 0.02 18.56 0.16  4.00 0.08  1.53 0.10 -1.29  -30.9 2.2 14.8 -7.03
 329 2033.83 1150.72 22.74 0.02 22.06 0.02 21.34 0.14  3.79 0.03  0.27 0.07 -2.51  -16.8 1.1 29.0 -8.15
 330 2034.03 4024.27 20.58 0.03 20.21 0.03 18.91 0.21  3.87 0.03  1.11 0.07 -1.41  -38.1 1.7  6.2 -6.98
 331 2040.38 1428.18 19.97 0.02 19.91 0.02 18.26 0.20  3.95 0.04  1.37 0.07 -1.10  -59.1 1.9  6.2 -6.76
 332 2043.74  493.49 23.71 0.04 22.87 0.02 21.27 0.20  3.74 0.03 -0.09 0.07 -2.30  -63.0 0.9 31.9 -7.95
 333 2044.45 2130.91 23.33 0.03 22.41 0.01 21.35 0.18  3.72 0.02  0.09 0.06 -2.40  -32.7 1.1 10.5 -8.00
 334 2046.06 1434.26 22.38 0.03 21.86 0.02 19.93 0.20  3.83 0.03  0.40 0.07 -1.74  -82.8 1.2 31.4 -7.44
 335 2046.61 1610.79 22.44 0.05 21.68 0.02 19.89 0.21  3.76 0.03  0.40 0.07 -1.73  -76.4 1.2 11.6 -7.30
 336 2051.96 1391.85 19.82 0.02 19.62 0.02 18.69 0.12  3.91 0.03  1.40 0.07 -1.40  -21.7 2.0  4.4 -6.97
 337 2062.04 2886.33 22.53 0.02 21.62 0.02 20.82 0.16  3.73 0.03  0.40 0.07 -2.25  -21.6 1.4  4.8 -7.81
 338 2069.30  965.99 19.78 0.02 19.77 0.03 19.19 0.13  3.97 0.05  1.46 0.08 -1.74  -10.9 2.0 15.8 -7.41
 339 2077.85 1841.35 22.90 0.02 22.02 0.02 20.81 0.15  3.73 0.03  0.24 0.07 -2.16  -39.3 1.2 10.3 -7.73
 340 2082.18 1604.52 23.27 0.03 22.73 0.02 21.34 0.21  3.83 0.03  0.05 0.07 -2.36  -43.7 1.0 38.0 -8.15
 341 2087.80 2878.54 22.72 0.02 21.62 0.02 20.41 0.19  3.68 0.02  0.40 0.06 -1.99  -43.2 1.3  1.6 -7.42
 342 2090.37  532.27 23.86 0.03 22.91 0.03 21.63 0.16  3.72 0.02 -0.12 0.06 -2.47  -45.1 0.9 18.8 -8.09
 343 2100.14 3070.56 23.35 0.03 21.95 0.02 21.04 0.21  3.64 0.02  0.28 0.06 -2.28  -31.6 0.7  0.9 -7.43
 344 2107.74 1731.91 23.41 0.04 22.55 0.02 21.12 0.21  3.74 0.03  0.03 0.07 -2.25  -51.9 1.0 17.8 -7.87
 345 2110.45 4468.23 19.66 0.03 19.83 0.02 19.11 0.14  4.17 0.17  1.91 0.18 -1.71  -10.7 2.8 11.8 -7.68
 346 2112.16 2639.37 23.60 0.04 22.48 0.04 21.51 0.17  3.68 0.02  0.05 0.06 -2.47  -31.5 1.1  3.9 -8.01
 347 2112.38  607.82 23.24 0.05 22.65 0.04 21.83 0.19  3.81 0.03  0.06 0.07 -2.68  -19.0 1.0 39.6 -8.44
 348 2113.10 1948.66 22.92 0.02 21.91 0.02 21.30 0.14  3.70 0.02  0.28 0.06 -2.49  -16.7 1.3  3.2 -8.03
 349 2118.88 1188.95 23.17 0.04 22.41 0.04 21.29 0.21  3.76 0.03  0.11 0.07 -2.38  -32.7 1.0 31.0 -8.01
 350 2119.38 1527.93 20.86 0.04 20.46 0.02 18.81 0.21  3.86 0.03  1.00 0.07 -1.32  -60.1 1.6  8.2 -6.89
 351 2130.87 2190.89 23.82 0.06 22.08 0.02 21.08 0.13  3.59 0.02  0.25 0.06 -2.27  -39.2 0.6  0.7 -7.23
 352 2132.34 2446.20 19.98 0.02 20.00 0.02 19.41 0.12  3.99 0.07  1.42 0.09 -1.84  -10.4 2.1 16.8 -7.58
 353 2134.56 2607.02 24.06 0.04 22.60 0.02 21.28 0.17  3.63 0.01  0.02 0.06 -2.31  -54.8 0.7  1.6 -7.59
 354 2134.95 2066.79 22.79 0.03 21.90 0.02 21.39 0.14  3.73 0.03  0.29 0.07 -2.59  -12.4 1.3  8.3 -8.16
 355 2135.40 2135.85 25.01 0.07 23.81 0.03 21.71 0.19  3.67 0.02 -0.48 0.06 -2.43 -124.0 0.8 23.0 -8.06
 356 2137.36 1030.98 19.65 0.02 19.53 0.02 18.78 0.11  3.93 0.03  1.48 0.07 -1.51  -14.8 2.1  4.1 -7.11
 357 2146.69 2910.02 21.91 0.02 20.84 0.02 20.30 0.11  3.69 0.02  0.71 0.06 -2.12  -14.8 1.5  0.8 -7.47
 358 2147.08 1244.75 20.32 0.04 20.06 0.02 18.31 0.20  3.90 0.03  1.20 0.07 -1.11  -69.1 1.8  6.0 -6.70
 359 2151.01 1230.44 19.13 0.02 18.47 0.02 17.62 0.13  3.79 0.03  1.71 0.07 -0.98  -20.9 3.1  1.0 -6.35
 360 2156.63 3583.24 19.64 0.03 18.67 0.02 17.65 0.18  3.71 0.02  1.58 0.06 -0.92  -31.9 2.9  0.2 -6.18
 361 2161.55 1017.05 22.88 0.03 21.99 0.03 21.23 0.17  3.73 0.03  0.26 0.07 -2.43  -20.3 1.2  9.4 -7.99
 362 2166.25  551.05 24.80 0.04 23.84 0.02 22.17 0.19  3.71 0.02 -0.49 0.06 -2.65  -72.1 0.8 46.6 -8.35
 363 2177.20 1060.05 20.49 0.02 20.12 0.02 19.06 0.17  3.87 0.03  1.14 0.07 -1.51  -27.5 1.7  6.0 -7.07
 364 2192.75 1879.06 23.36 0.05 22.81 0.03 20.96 0.20  3.82 0.03  0.01 0.07 -2.16  -76.5 1.0 37.0 -7.95
 365 2192.96 4492.19 19.71 0.03 18.66 0.02 17.75 0.15  3.69 0.02  1.58 0.06 -0.98  -27.8 2.3  0.1 -6.09
 366 2195.76 3944.83 19.42 0.02 19.51 0.02 18.29 0.16  4.05 0.12  1.75 0.14 -1.19  -29.1 2.5 12.9 -6.97
